ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,3.539999962,3.54,NTU,51.10122,-114.27975,05/08/2012 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,69.59999847,69.6,NTU,51.10122,-114.27975,06/12/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,10.10000038,10.1,NTU,51.10122,-114.27975,07/10/2012 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.910000086,2.91,NTU,51.10122,-114.27975,08/14/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.879999995,1.88,NTU,51.10122,-114.27975,09/12/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.279999971,1.28,NTU,51.10122,-114.27975,10/09/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.190000057,1.19,NTU,51.10122,-114.27975,11/06/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.149999976,1.15,NTU,51.10122,-114.27975,12/11/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.460000038,1.46,NTU,51.10122,-114.27975,01/15/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.980000019,1.98,NTU,51.10122,-114.27975,02/12/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.899999976,0.9,NTU,51.10122,-114.27975,03/12/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.529999971,1.53,NTU,51.10122,-114.27975,04/09/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.230000019,3.23,NTU,51.10122,-114.27975,05/14/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.519999981,6.52,NTU,51.10122,-114.27975,06/11/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,12.69999981,12.7,NTU,51.10122,-114.27975,07/16/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.25999999,3.26,NTU,51.10122,-114.27975,08/20/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.809999943,2.81,NTU,51.10122,-114.27975,09/19/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.349999905,2.35,NTU,51.10122,-114.27975,10/08/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.00999999,2.01,NTU,51.10122,-114.27975,11/05/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.830000043,1.83,NTU,51.10122,-114.27975,12/11/2013 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.549999952,1.55,NTU,51.10122,-114.27975,01/14/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.949999988,0.95,NTU,51.10122,-114.27975,02/11/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.670000076,3.67,NTU,51.10122,-114.27975,03/18/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.99000001,3.99,NTU,51.10122,-114.27975,04/15/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.119999886,8.12,NTU,51.10122,-114.27975,05/13/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,14,14,NTU,51.10122,-114.27975,06/10/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.110000134,5.11,NTU,51.10122,-114.27975,07/15/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.599999905,2.6,NTU,51.10122,-114.27975,08/12/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3,3,NTU,51.10122,-114.27975,09/09/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.529999971,1.53,NTU,51.10122,-114.27975,10/21/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.779999971,1.78,NTU,51.10122,-114.27975,11/18/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.799999952,1.8,NTU,51.10122,-114.27975,12/09/2014 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.25,1.25,NTU,51.10122,-114.27975,01/13/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.169999957,1.17,NTU,51.10122,-114.27975,02/10/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.860000014,1.86,NTU,51.10122,-114.27975,03/10/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.210000038,3.21,NTU,51.10122,-114.27975,04/14/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.349999905,3.35,NTU,51.10122,-114.27975,05/12/2015  ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,11.19999981,11.2,NTU,51.10122,-114.27975,06/09/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.690000057,2.69,NTU,51.10122,-114.27975,07/14/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.419999957,1.42,NTU,51.10122,-114.27975,08/11/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.269999981,2.27,NTU,51.10122,-114.27975,09/09/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.430000067,2.43,NTU,51.10122,-114.27975,10/21/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.059999943,2.06,NTU,51.10122,-114.27975,11/17/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.299999952,1.3,NTU,51.10122,-114.27975,12/08/2015 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.230000019,1.23,NTU,51.10122,-114.27975,01/11/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.179999948,1.18,NTU,51.10122,-114.27975,02/08/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.899999976,1.9,NTU,51.10122,-114.27975,03/14/2016 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.839999914,2.84,NTU,51.10122,-114.27975,04/11/2016 ,Turbidity,SUR_BR-BD
