ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,0.949999988,0.95,NTU,51.10122,-114.27975,2/11/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.670000076,3.67,NTU,51.10122,-114.27975,3/18/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.99000001,3.99,NTU,51.10122,-114.27975,4/15/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.119999886,8.12,NTU,51.10122,-114.27975,5/13/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,14,14,NTU,51.10122,-114.27975,6/10/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.110000134,5.11,NTU,51.10122,-114.27975,7/15/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.599999905,2.6,NTU,51.10122,-114.27975,8/12/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3,3,NTU,51.10122,-114.27975,9/9/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.529999971,1.53,NTU,51.10122,-114.27975,10/21/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.779999971,1.78,NTU,51.10122,-114.27975,11/18/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.799999952,1.8,NTU,51.10122,-114.27975,12/9/2014,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.25,1.25,NTU,51.10122,-114.27975,1/13/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.169999957,1.17,NTU,51.10122,-114.27975,2/10/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.860000014,1.86,NTU,51.10122,-114.27975,3/10/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.210000038,3.21,NTU,51.10122,-114.27975,4/14/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.349999905,3.35,NTU,51.10122,-114.27975,5/12/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,11.19999981,11.2,NTU,51.10122,-114.27975,6/9/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.690000057,2.69,NTU,51.10122,-114.27975,7/14/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.419999957,1.42,NTU,51.10122,-114.27975,8/11/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.269999981,2.27,NTU,51.10122,-114.27975,9/9/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.430000067,2.43,NTU,51.10122,-114.27975,10/21/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.059999943,2.06,NTU,51.10122,-114.27975,11/17/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.299999952,1.3,NTU,51.10122,-114.27975,12/8/2015,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.230000019,1.23,NTU,51.10122,-114.27975,1/11/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.179999948,1.18,NTU,51.10122,-114.27975,2/8/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.899999976,1.9,NTU,51.10122,-114.27975,3/14/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.839999914,2.84,NTU,51.10122,-114.27975,4/11/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.519999981,5.52,NTU,51.10122,-114.27975,5/10/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.630000114,5.63,NTU,51.10122,-114.27975,6/13/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.75999999,1.76,NTU,51.10122,-114.27975,7/11/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.779999971,2.78,NTU,51.10122,-114.27975,8/8/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.349999905,2.35,NTU,51.10122,-114.27975,9/12/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.679999948,1.68,NTU,51.10122,-114.27975,10/24/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.75,1.75,NTU,51.10122,-114.27975,11/14/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.210000038,1.21,NTU,51.10122,-114.27975,12/12/2016,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.74000001,0.74,NTU,51.10122,-114.27975,1/9/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.610000014,0.61,NTU,51.10122,-114.27975,2/13/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.670000017,0.67,NTU,51.10122,-114.27975,3/13/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.079999924,2.08,NTU,51.10122,-114.27975,4/10/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.109999657,8.11,NTU,51.10122,-114.27975,5/8/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,46,46,NTU,51.10122,-114.27975,6/12/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.190000057,5.19,NTU,51.10122,-114.27975,7/10/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.419999957,1.42,NTU,51.10122,-114.27975,8/14/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.860000014,1.86,NTU,51.10122,-114.27975,9/11/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.700000048,1.7,NTU,51.10122,-114.27975,10/10/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.350000024,1.35,NTU,51.10122,-114.27975,11/13/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.819999993,0.82,NTU,51.10122,-114.27975,12/11/2017,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.730000019,0.73,NTU,51.10122,-114.27975,1/8/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.730000019,0.73,NTU,51.10122,-114.27975,2/13/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.930000007,0.93,NTU,51.10122,-114.27975,3/12/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.190000057,2.19,NTU,51.10122,-114.27975,4/9/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.820000172,5.82,NTU,51.10122,-114.27975,5/14/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.71999979,5.72,NTU,51.10122,-114.27975,6/11/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.279999971,3.28,NTU,51.10122,-114.27975,7/9/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.539999962,1.54,NTU,51.10122,-114.27975,8/13/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.389999986,1.39,NTU,51.10122,-114.27975,9/10/2018,Turbidity,SUR_BR-BD
30091390,Bow River Below Bearspaw Dam,1,1,NTU,51.100403,-114.270774,10/9/2018,Turbidity,SUR_BR-BD
30404667,Bow River Below Bearspaw Dam,1.1,1.1,NTU,51.100403,-114.270774,11/12/2018,Turbidity,SUR_BR-BD
30646154,Bow River Below Bearspaw Dam,0.94,0.94,NTU,51.100403,-114.270774,12/10/2018,Turbidity,SUR_BR-BD
30919317,Bow River Below Bearspaw Dam,0.87,0.87,NTU,51.100403,-114.270774,1/16/2019,Turbidity,SUR_BR-BD
31166181,Bow River Below Bearspaw Dam,1.6,1.6,NTU,51.100403,-114.270774,2/14/2019,Turbidity,SUR_BR-BD
31370103,Bow River Below Bearspaw Dam,2.1,2.1,NTU,51.100403,-114.270774,3/13/2019,Turbidity,SUR_BR-BD
31461383,Bow River Below Bearspaw Dam,2.1,2.1,NTU,51.100403,-114.270774,4/11/2019,Turbidity,SUR_BR-BD
31765297,Bow River Below Bearspaw Dam,2.5,2.5,NTU,51.100403,-114.270774,5/15/2019,Turbidity,SUR_BR-BD
32026430,Bow River Below Bearspaw Dam,9.4,9.4,NTU,51.100403,-114.270774,6/12/2019,Turbidity,SUR_BR-BD
32215649,Bow River Below Bearspaw Dam,9,9,NTU,51.100403,-114.270774,7/10/2019,Turbidity,SUR_BR-BD
32532019,Bow River Below Bearspaw Dam,1.7,1.7,NTU,51.100403,-114.270774,8/14/2019,Turbidity,SUR_BR-BD
32958509,Bow River Below Bearspaw Dam,1.6,1.6,NTU,51.100403,-114.270774,9/11/2019,Turbidity,SUR_BR-BD
33307975,Bow River Below Bearspaw Dam,1.1,1.1,NTU,51.100403,-114.270774,10/17/2019,Turbidity,SUR_BR-BD
33599388,Bow River Below Bearspaw Dam,1.2,1.2,NTU,51.100403,-114.270774,11/20/2019,Turbidity,SUR_BR-BD
33884499,Bow River Below Bearspaw Dam,1.1,1.1,NTU,51.100403,-114.270774,12/11/2019,Turbidity,SUR_BR-BD
34135759,Bow River Below Bearspaw Dam,0.8,0.8,NTU,51.100403,-114.270774,1/22/2020,Turbidity,SUR_BR-BD
